Time,Position
0.05,2.734
0.1,2.736
0.15,2.736
0.2,2.736
0.25,2.736
0.3,2.736
0.35,2.736
0.4,2.736
0.45,2.736
0.5,2.736
0.55,2.736
0.6,2.736
0.65,2.736
0.7,2.736
0.75,2.736
0.8,2.736
0.85,2.736
0.9,2.736
0.95,2.736
1,2.736
1.05,2.736
1.1,2.736
1.15,2.736
1.2,2.736
1.25,1.861
1.3,1.875
1.35,1.854
1.4,1.851
1.45,1.882
1.5,1.886
1.55,1.87
1.6,1.854
1.65,1.835
1.7,1.826
1.75,1.811
1.8,1.808
1.85,1.792
1.9,1.792
1.95,1.794
2,1.781
2.05,1.782
2.1,1.783
2.15,1.78
2.2,1.774
2.25,1.795
2.3,1.764
2.35,1.817
2.4,1.731
2.45,1.716
2.5,1.724
2.55,1.718
2.6,1.654
2.65,1.614
2.7,1.579
2.75,1.542
2.8,2.737
2.85,2.737
2.9,1.416
2.95,1.357
3,1.309
3.05,1.255
3.1,1.204
3.15,1.153
3.2,1.099
3.25,1.044
3.3,0.992
3.35,0.934
3.4,0.876
3.45,0.82
3.5,0.765
3.55,0.706
3.6,0.647
3.65,0.59
3.7,0.53
3.75,0.472
3.8,0.417
3.85,0.357
3.9,0.298
3.95,0.238
4,0.179
4.05,0.151
4.1,0.151
4.15,2.737
4.2,0.165
4.25,2.737
4.3,2.737
4.35,2.737
4.4,2.737
4.45,2.737
4.5,2.737
4.55,2.737
4.6,2.737
4.65,2.737
4.7,2.737
4.75,2.737
4.8,2.737
4.85,2.737
4.9,2.737
4.95,2.737
5,2.737
