"Time","Position","Velocity","Acceleration"
0.05,2.743,0.002,-0.026
0.10,2.744,0.001,-0.025
0.15,2.744,-0.001,-0.015
0.20,2.743,-0.001,0.000
0.25,2.743,-0.001,0.009
0.30,2.743,0.000,0.011
0.35,2.744,0.001,-0.001
0.40,2.744,-0.001,-0.002
0.45,2.743,0.000,0.006
0.50,2.744,0.001,-0.006
0.55,2.744,-0.001,-0.013
0.60,2.743,-0.001,-0.008
0.65,2.744,-0.001,-0.004
0.70,2.743,-0.001,0.004
0.75,2.743,-0.001,0.007
0.80,2.743,0.000,0.003
0.85,2.743,0.000,0.003
0.90,2.743,0.000,0.006
0.95,2.743,0.000,0.010
1.00,2.743,0.001,0.009
1.05,2.743,0.002,-0.261
1.10,2.743,0.000,-1.794
1.15,2.743,0.000,-8.639
1.20,2.743,-0.459,-22.268
1.25,2.744,-1.830,-37.985
1.30,2.743,-5.927,-22.328
1.35,1.917,-5.836,23.572
1.40,1.930,-1.650,36.639
1.45,1.956,-0.559,19.339
1.50,1.918,-0.336,8.047
1.55,1.897,-0.147,3.495
1.60,1.908,-0.009,1.653
1.65,1.904,0.018,0.396
1.70,1.913,-0.030,0.067
1.75,1.893,0.018,-0.188
1.80,1.914,0.065,-2.097
1.85,1.922,-0.257,-2.732
1.90,1.876,-0.375,-0.475
1.95,1.871,-0.247,1.001
2.00,1.858,-0.196,1.123
2.05,1.851,-0.139,1.076
2.10,1.844,-0.095,1.094
2.15,1.842,-0.045,1.368
2.20,1.838,0.051,1.245
2.25,1.846,0.128,0.139
2.30,1.852,0.145,-2.027
2.35,1.882,-0.175,-2.370
2.40,1.823,-0.302,0.733
2.45,1.820,0.095,0.782
2.50,1.869,-0.088,-1.383
2.55,1.812,-0.282,0.150
2.60,1.814,-0.048,1.266
2.65,1.821,-0.032,0.432
2.70,1.811,-0.014,-0.455
2.75,1.824,-0.098,-0.993
2.80,1.801,-0.170,-0.420
2.85,1.801,-0.140,0.096
2.90,1.786,-0.104,-0.434
2.95,1.795,-0.145,-1.803
3.00,1.777,-0.300,-3.025
3.05,1.764,-0.448,-4.144
3.10,1.739,-0.730,-4.820
3.15,1.688,-0.976,-4.584
3.20,1.640,-1.191,-4.195
3.25,1.569,-1.395,-3.730
3.30,1.499,-1.568,-3.193
3.35,1.412,-1.721,-2.527
3.40,1.324,-1.817,-1.927
3.45,1.230,-1.902,-1.568
3.50,1.133,-1.971,-1.310
3.55,1.032,-2.030,-1.157
3.60,0.930,-2.079,-1.157
3.65,0.825,-2.138,-1.266
3.70,0.717,-2.218,-1.084
3.75,0.602,-2.273,0.539
3.80,0.487,-2.272,6.358
3.85,0.374,-2.189,26.690
3.90,0.261,-0.465,54.949
3.95,0.153,3.295,70.938
4.00,0.158,12.852,-8.383
4.05,2.747,1.903,-70.496
4.10,0.229,-6.714,68.031
4.15,0.255,14.001,115.610
4.20,2.743,16.628,-35.439
4.25,2.743,5.543,-122.175
4.30,2.743,-0.054,-127.869
4.35,2.743,-5.747,-118.805
4.40,2.743,-17.243,-7.823
4.45,0.157,-12.940,192.418
4.50,0.155,12.929,193.272
4.55,2.743,17.251,-2.350
4.60,2.743,5.750,-93.425
4.65,2.743,1.438,-64.686
4.70,2.743,0.000,-26.361
4.75,2.743,-0.001,-5.584
4.80,2.743,0.001,-0.783
4.85,2.743,0.002,-0.007
4.90,2.743,0.000,-0.030
4.95,2.743,-0.002,-0.033
5.00,2.743,-0.003,-0.030
